data,dia_semana,turno,canal,pedidos,faturamento,ticket_medio,tempo_medio_atendimento_min,funcionarios_no_turno,avaliacao_media_cliente
2025-01-01,Quarta,Manhã,Salão,26,937.56,36.06,5.88,6,4.3
2025-01-01,Quarta,Manhã,Drive-Thru,65,1883.7,28.98,2.61,6,4.5
2025-01-01,Quarta,Manhã,Delivery/App,14,497.56,35.54,9.88,6,4.7
2025-01-01,Quarta,Tarde,Salão,58,1612.98,27.81,5.87,7,4.4
2025-01-01,Quarta,Tarde,Drive-Thru,67,2118.54,31.62,3.75,7,4.4
2025-01-01,Quarta,Tarde,Delivery/App,33,1316.04,39.88,10.83,7,4.2
2025-01-01,Quarta,Noite,Salão,46,1460.04,31.74,6.13,10,4.7
2025-01-01,Quarta,Noite,Drive-Thru,120,4058.4,33.82,2.7,10,5.0
2025-01-01,Quarta,Noite,Delivery/App,44,2011.68,45.72,11.26,10,4.6
2025-01-02,Quinta,Manhã,Salão,30,866.1,28.87,5.56,4,4.8
2025-01-02,Quinta,Manhã,Drive-Thru,69,2080.35,30.15,4.25,4,4.6
2025-01-02,Quinta,Manhã,Delivery/App,14,505.82,36.13,10.15,4,4.3
2025-01-02,Quinta,Tarde,Salão,73,2819.26,38.62,6.7,7,4.2
2025-01-02,Quinta,Tarde,Drive-Thru,106,3359.14,31.69,2.9,7,4.4
2025-01-02,Quinta,Tarde,Delivery/App,34,1667.36,49.04,10.77,7,4.8
2025-01-02,Quinta,Noite,Salão,46,1237.4,26.9,6.42,9,4.8
2025-01-02,Quinta,Noite,Drive-Thru,102,3252.78,31.89,3.47,9,4.9
2025-01-02,Quinta,Noite,Delivery/App,35,1618.05,46.23,11.67,9,4.8
2025-01-03,Sexta,Manhã,Salão,43,1421.15,33.05,6.4,6,4.5
2025-01-03,Sexta,Manhã,Drive-Thru,83,2889.23,34.81,3.5,6,4.5
2025-01-03,Sexta,Manhã,Delivery/App,15,657.9,43.86,10.72,6,4.5
2025-01-03,Sexta,Tarde,Salão,80,2858.4,35.73,5.29,12,4.6
2025-01-03,Sexta,Tarde,Drive-Thru,146,5648.74,38.69,3.31,12,4.9
2025-01-03,Sexta,Tarde,Delivery/App,44,2243.56,50.99,10.31,12,4.6
2025-01-03,Sexta,Noite,Salão,71,2639.78,37.18,6.4,10,4.6
2025-01-03,Sexta,Noite,Drive-Thru,143,4770.48,33.36,3.49,10,4.6
2025-01-03,Sexta,Noite,Delivery/App,57,2305.65,40.45,11.86,10,5.0
2025-01-04,Sábado,Manhã,Salão,39,1509.69,38.71,5.37,5,4.6
2025-01-04,Sábado,Manhã,Drive-Thru,70,1981.7,28.31,4.62,5,4.5
2025-01-04,Sábado,Manhã,Delivery/App,18,700.38,38.91,10.59,5,4.3
2025-01-04,Sábado,Tarde,Salão,70,2474.5,35.35,5.95,11,4.9
2025-01-04,Sábado,Tarde,Drive-Thru,109,3961.06,36.34,2.72,11,4.7
2025-01-04,Sábado,Tarde,Delivery/App,40,1517.2,37.93,11.03,11,4.6
2025-01-04,Sábado,Noite,Salão,58,2036.38,35.11,5.81,12,4.9
2025-01-04,Sábado,Noite,Drive-Thru,155,6069.8,39.16,2.44,12,5.0
2025-01-04,Sábado,Noite,Delivery/App,60,2301.0,38.35,12.43,12,4.6
2025-01-05,Domingo,Manhã,Salão,38,1098.2,28.9,5.96,7,4.7
2025-01-05,Domingo,Manhã,Drive-Thru,71,2144.2,30.2,3.73,7,4.3
2025-01-05,Domingo,Manhã,Delivery/App,18,754.92,41.94,10.34,7,4.7
2025-01-05,Domingo,Tarde,Salão,94,3641.56,38.74,5.98,8,4.4
2025-01-05,Domingo,Tarde,Drive-Thru,86,3553.52,41.32,3.04,8,4.4
2025-01-05,Domingo,Tarde,Delivery/App,43,1773.32,41.24,11.52,8,4.7
2025-01-05,Domingo,Noite,Salão,51,1462.17,28.67,5.91,10,4.7
2025-01-05,Domingo,Noite,Drive-Thru,153,6106.23,39.91,4.2,10,4.7
2025-01-05,Domingo,Noite,Delivery/App,72,3136.32,43.56,12.22,10,4.7
2025-01-06,Segunda,Manhã,Salão,25,829.75,33.19,5.65,6,4.6
2025-01-06,Segunda,Manhã,Drive-Thru,55,2085.6,37.92,3.14,6,4.6
2025-01-06,Segunda,Manhã,Delivery/App,14,625.38,44.67,10.38,6,4.6
2025-01-06,Segunda,Tarde,Salão,51,1889.55,37.05,5.11,9,4.5
2025-01-06,Segunda,Tarde,Drive-Thru,91,3210.48,35.28,3.31,9,4.7
2025-01-06,Segunda,Tarde,Delivery/App,28,1282.96,45.82,10.76,9,4.8
2025-01-06,Segunda,Noite,Salão,46,1702.46,37.01,6.61,8,4.4
2025-01-06,Segunda,Noite,Drive-Thru,85,2838.15,33.39,3.77,8,4.7
2025-01-06,Segunda,Noite,Delivery/App,33,1188.0,36.0,11.59,8,4.6
2025-01-07,Terça,Manhã,Salão,24,638.4,26.6,5.03,6,4.6
2025-01-07,Terça,Manhã,Drive-Thru,52,1769.56,34.03,2.53,6,4.7
2025-01-07,Terça,Manhã,Delivery/App,13,457.47,35.19,10.23,6,4.5
2025-01-07,Terça,Tarde,Salão,65,1937.65,29.81,5.66,9,4.8
2025-01-07,Terça,Tarde,Drive-Thru,97,3804.34,39.22,3.49,9,4.5
2025-01-07,Terça,Tarde,Delivery/App,27,1278.99,47.37,10.64,9,4.5
